148	1
150	2
153	2
157	2
158	2
159	3
160	5
161	2
162	10
163	8
164	5
165	11
166	13
167	24
168	26
169	38
170	31
171	48
172	35
173	61
174	76
175	78
176	93
177	117
178	144
179	171
180	202
181	219
182	255
183	258
184	299
185	303
186	368
187	421
188	459
189	512
190	591
191	559
192	642
193	656
194	689
195	800
196	818
197	835
198	892
199	971
200	983
201	969
202	1054
203	971
204	1111
205	1060
206	1053
207	1089
208	1037
209	1067
210	1038
211	1028
212	951
213	932
214	835
215	862
216	848
217	807
218	778
219	706
220	665
221	656
222	614
223	562
224	513
225	476
226	415
227	416
228	360
229	322
230	304
231	255
232	237
233	220
234	198
235	167
236	134
237	119
238	103
239	93
240	87
241	71
242	57
243	46
244	41
245	39
246	30
247	16
248	29
249	25
250	14
251	18
252	2
253	4
254	7
255	4
256	4
257	6
258	2
259	1
260	2
261	1
262	1
265	1
266	1
276	1
